labor_id,wo_id,project_id,craft,worker_ref,hours,hourly_rate,labor_cost,post_date,origin_system
WOL-0000001,WO-900001,PRJ-001,Welder,WKR-2778,10.95,116.74,1278.3,2026-07-25,GCP-BigQuery
WOL-0000002,WO-900001,PRJ-001,Laborer,WKR-5743,5.72,115.88,662.83,2026-07-25,GCP-BigQuery
WOL-0000003,WO-000001,PRJ-007,Electrician,WKR-9382,5.96,102.46,610.66,2026-07-04,GCP-BigQuery
WOL-0000004,WO-000001,PRJ-007,Carpenter,WKR-5913,8.62,49.41,425.91,2026-07-04,GCP-BigQuery
WOL-0000005,WO-000003,PRJ-009,Pipefitter,WKR-4454,4.51,123.01,554.78,2026-06-21,GCP-BigQuery
WOL-0000006,WO-000003,PRJ-009,Instrument Tech,WKR-3296,4.0,88.71,354.84,2026-06-21,GCP-BigQuery
WOL-0000007,WO-000003,PRJ-009,Pipefitter,WKR-7905,4.36,97.87,426.71,2026-06-21,GCP-BigQuery
WOL-0000008,WO-000004,PRJ-007,Laborer,WKR-5420,5.98,53.81,321.78,2025-06-20,GCP-BigQuery
WOL-0000009,WO-000004,PRJ-007,Boilermaker,WKR-9019,6.34,65.14,412.99,2025-06-20,GCP-BigQuery
WOL-0000010,WO-000004,PRJ-007,Laborer,WKR-4582,11.74,52.5,616.35,2025-06-20,GCP-BigQuery
WOL-0000011,WO-000005,PRJ-001,Laborer,WKR-6715,8.46,70.74,598.46,2025-07-10,GCP-BigQuery
WOL-0000012,WO-000005,PRJ-001,Welder,WKR-9940,3.29,54.04,177.79,2025-07-10,GCP-BigQuery
WOL-0000013,WO-000005,PRJ-001,Instrument Tech,WKR-5049,8.36,70.03,585.45,2025-07-10,GCP-BigQuery
WOL-0000014,WO-000005,PRJ-001,Laborer,WKR-9103,11.5,86.17,990.96,2025-07-10,GCP-BigQuery
WOL-0000015,WO-000006,PRJ-009,Laborer,WKR-8227,5.44,108.55,590.51,2026-03-20,GCP-BigQuery
WOL-0000016,WO-000006,PRJ-009,Instrument Tech,WKR-7362,9.71,79.84,775.25,2026-03-20,GCP-BigQuery
WOL-0000017,WO-000006,PRJ-009,Pipefitter,WKR-8627,3.71,101.64,377.08,2026-03-20,GCP-BigQuery
WOL-0000018,WO-000006,PRJ-009,Operator,WKR-9234,9.56,98.78,944.34,2026-03-20,GCP-BigQuery
WOL-0000019,WO-000007,PRJ-004,Pipefitter,WKR-5943,2.17,116.05,251.83,2026-03-14,GCP-BigQuery
WOL-0000020,WO-000009,PRJ-005,Operator,WKR-5387,3.63,83.45,302.92,2025-04-15,GCP-BigQuery
WOL-0000021,WO-000009,PRJ-005,Carpenter,WKR-4107,3.72,53.35,198.46,2025-04-15,GCP-BigQuery
WOL-0000022,WO-000010,PRJ-003,Welder,WKR-9157,7.95,130.83,1040.1,2025-11-16,GCP-BigQuery
WOL-0000023,WO-000010,PRJ-003,Operator,WKR-5323,9.49,49.67,471.37,2025-11-16,GCP-BigQuery
WOL-0000024,WO-000010,PRJ-003,Operator,WKR-9658,10.96,85.73,939.6,2025-11-16,GCP-BigQuery
WOL-0000025,WO-000011,PRJ-001,Instrument Tech,WKR-2197,3.09,92.31,285.24,2025-06-30,GCP-BigQuery
WOL-0000026,WO-000011,PRJ-001,Instrument Tech,WKR-4579,2.65,77.98,206.65,2025-06-30,GCP-BigQuery
WOL-0000027,WO-000011,PRJ-001,Operator,WKR-2526,3.57,78.31,279.57,2025-06-30,GCP-BigQuery
WOL-0000028,WO-000011,PRJ-001,Instrument Tech,WKR-4626,9.76,93.11,908.75,2025-06-30,GCP-BigQuery
WOL-0000029,WO-000012,PRJ-010,Laborer,WKR-2442,11.25,89.19,1003.39,2025-12-05,GCP-BigQuery
WOL-0000030,WO-000012,PRJ-010,Laborer,WKR-8584,9.73,69.15,672.83,2025-12-05,GCP-BigQuery
WOL-0000031,WO-000012,PRJ-010,Electrician,WKR-6006,7.87,82.29,647.62,2025-12-05,GCP-BigQuery
WOL-0000032,WO-000012,PRJ-010,Electrician,WKR-2929,7.33,128.45,941.54,2025-12-05,GCP-BigQuery
WOL-0000033,WO-000013,PRJ-007,Carpenter,WKR-6216,2.31,114.92,265.47,2025-07-29,GCP-BigQuery
WOL-0000034,WO-000016,PRJ-001,Carpenter,WKR-8241,5.94,54.36,322.9,2025-04-23,GCP-BigQuery
WOL-0000035,WO-000016,PRJ-001,Carpenter,WKR-5666,10.43,77.25,805.72,2025-04-23,GCP-BigQuery
WOL-0000036,WO-000016,PRJ-001,Instrument Tech,WKR-6660,10.09,64.71,652.92,2025-04-23,GCP-BigQuery
WOL-0000037,WO-000016,PRJ-001,Operator,WKR-8482,6.31,63.17,398.6,2025-04-23,GCP-BigQuery
WOL-0000038,WO-000017,PRJ-012,Millwright,WKR-5616,11.34,97.5,1105.65,2025-07-25,GCP-BigQuery
WOL-0000039,WO-000017,PRJ-012,Ironworker,WKR-6906,6.23,82.86,516.22,2025-07-25,GCP-BigQuery
WOL-0000040,WO-000017,PRJ-012,Laborer,WKR-4543,8.78,115.31,1012.42,2025-07-25,GCP-BigQuery
WOL-0000041,WO-000017,PRJ-012,Boilermaker,WKR-3015,4.61,55.56,256.13,2025-07-25,GCP-BigQuery
WOL-0000042,WO-000018,PRJ-009,Operator,WKR-5223,6.15,92.3,567.64,2025-06-26,GCP-BigQuery
WOL-0000043,WO-000018,PRJ-009,Electrician,WKR-6477,6.31,107.5,678.32,2025-06-26,GCP-BigQuery
WOL-0000044,WO-000018,PRJ-009,Carpenter,WKR-6161,11.72,60.08,704.14,2025-06-26,GCP-BigQuery
