wo_material_id,wo_id,supplier_id,material_desc,quantity,unit_cost,total_cost,origin_system
WOM-0000001,WO-900001,SUP-015,Control card,7,3051.9,21363.3,GCP-BigQuery
WOM-0000002,WO-000002,SUP-012,Relay module,6,3890.23,23341.38,GCP-BigQuery
WOM-0000003,WO-000002,SUP-124,Gasket kit,6,1174.7,7048.2,GCP-BigQuery
WOM-0000004,WO-000003,SUP-071,Motor winding kit,6,3543.91,21263.46,GCP-BigQuery
WOM-0000005,WO-000003,SUP-001,Bearing set,8,2386.69,19093.52,GCP-BigQuery
WOM-0000006,WO-000003,SUP-038,Coupling,5,89.16,445.8,GCP-BigQuery
WOM-0000007,WO-000006,SUP-009,Seal assembly,18,2418.86,43539.48,GCP-BigQuery
WOM-0000008,WO-000011,SUP-078,Impeller,4,2184.49,8737.96,GCP-BigQuery
WOM-0000009,WO-000011,SUP-064,Control card,2,1800.82,3601.64,GCP-BigQuery
WOM-0000010,WO-000011,SUP-008,Gasket kit,9,1194.43,10749.87,GCP-BigQuery
WOM-0000011,WO-000012,SUP-014,Gasket kit,17,3096.67,52643.39,GCP-BigQuery
WOM-0000012,WO-000012,SUP-061,Valve actuator,16,47.11,753.76,GCP-BigQuery
WOM-0000013,WO-000012,SUP-116,Control card,6,2819.65,16917.9,GCP-BigQuery
WOM-0000014,WO-000017,SUP-004,Motor winding kit,13,3715.14,48296.82,GCP-BigQuery
WOM-0000015,WO-000017,SUP-135,Motor winding kit,5,3398.67,16993.35,GCP-BigQuery
WOM-0000016,WO-000017,SUP-080,Control card,11,1265.95,13925.45,GCP-BigQuery
WOM-0000017,WO-000022,SUP-129,Motor winding kit,18,1390.47,25028.46,GCP-BigQuery
WOM-0000018,WO-000022,SUP-050,Motor winding kit,6,4005.03,24030.18,GCP-BigQuery
WOM-0000019,WO-000022,SUP-081,Relay module,1,1500.11,1500.11,GCP-BigQuery
WOM-0000020,WO-000025,SUP-003,Pressure transmitter,6,3777.29,22663.74,GCP-BigQuery
WOM-0000021,WO-000028,SUP-053,Seal assembly,12,957.67,11492.04,GCP-BigQuery
WOM-0000022,WO-000028,SUP-093,Coupling,11,542.14,5963.54,GCP-BigQuery
WOM-0000023,WO-000028,SUP-006,Relay module,9,1093.06,9837.54,GCP-BigQuery
WOM-0000024,WO-000029,SUP-014,Pressure transmitter,5,3892.99,19464.95,GCP-BigQuery
WOM-0000025,WO-000029,SUP-040,Impeller,6,4037.39,24224.34,GCP-BigQuery
WOM-0000026,WO-000030,SUP-058,Coupling,4,713.06,2852.24,GCP-BigQuery
WOM-0000027,WO-000033,SUP-135,Motor winding kit,15,1030.65,15459.75,GCP-BigQuery
WOM-0000028,WO-000033,SUP-050,Gasket kit,4,1522.25,6089.0,GCP-BigQuery
WOM-0000029,WO-000033,SUP-142,Bearing set,1,3020.34,3020.34,GCP-BigQuery
WOM-0000030,WO-000037,SUP-022,Pressure transmitter,5,1817.89,9089.45,GCP-BigQuery
WOM-0000031,WO-000037,SUP-019,Bearing set,16,1404.9,22478.4,GCP-BigQuery
WOM-0000032,WO-000037,SUP-100,Coupling,19,860.26,16344.94,GCP-BigQuery
WOM-0000033,WO-000038,SUP-077,Gasket kit,9,1668.32,15014.88,GCP-BigQuery
WOM-0000034,WO-000038,SUP-007,Bearing set,17,3038.57,51655.69,GCP-BigQuery
WOM-0000035,WO-000046,SUP-091,Seal assembly,18,3378.58,60814.44,GCP-BigQuery
WOM-0000036,WO-000046,SUP-058,Gasket kit,2,1485.93,2971.86,GCP-BigQuery
WOM-0000037,WO-000046,SUP-144,Coupling,10,4006.75,40067.5,GCP-BigQuery
WOM-0000038,WO-000049,SUP-069,Control card,18,2948.63,53075.34,GCP-BigQuery
WOM-0000039,WO-000049,SUP-136,Filter element,8,1462.09,11696.72,GCP-BigQuery
WOM-0000040,WO-000049,SUP-060,Impeller,10,2025.76,20257.6,GCP-BigQuery
WOM-0000041,WO-000050,SUP-021,Relay module,7,2781.17,19468.19,GCP-BigQuery
WOM-0000042,WO-000051,SUP-104,Pressure transmitter,4,3983.04,15932.16,GCP-BigQuery
WOM-0000043,WO-000051,SUP-052,Relay module,10,1518.13,15181.3,GCP-BigQuery
WOM-0000044,WO-000051,SUP-029,Valve actuator,9,2838.11,25542.99,GCP-BigQuery
WOM-0000045,WO-000053,SUP-090,Relay module,16,267.36,4277.76,GCP-BigQuery
WOM-0000046,WO-000055,SUP-096,Seal assembly,3,777.27,2331.81,GCP-BigQuery
WOM-0000047,WO-000056,SUP-030,Valve actuator,13,3751.62,48771.06,GCP-BigQuery
WOM-0000048,WO-000056,SUP-080,Impeller,8,1358.1,10864.8,GCP-BigQuery
WOM-0000049,WO-000057,SUP-046,Control card,13,429.9,5588.7,GCP-BigQuery
WOM-0000050,WO-000057,SUP-146,Gasket kit,5,2474.05,12370.25,GCP-BigQuery
WOM-0000051,WO-000057,SUP-016,Control card,1,3473.18,3473.18,GCP-BigQuery
WOM-0000052,WO-000061,SUP-053,Lubricant drum,7,3767.33,26371.31,GCP-BigQuery
WOM-0000053,WO-000062,SUP-135,Gasket kit,5,1753.03,8765.15,GCP-BigQuery
WOM-0000054,WO-000062,SUP-012,Motor winding kit,6,2833.86,17003.16,GCP-BigQuery
WOM-0000055,WO-000062,SUP-046,Motor winding kit,3,1493.17,4479.51,GCP-BigQuery
WOM-0000056,WO-000063,SUP-144,Bearing set,6,1764.41,10586.46,GCP-BigQuery
WOM-0000057,WO-000064,SUP-120,Valve actuator,19,3899.85,74097.15,GCP-BigQuery
WOM-0000058,WO-000064,SUP-080,Control card,14,481.44,6740.16,GCP-BigQuery
WOM-0000059,WO-000064,SUP-013,Relay module,19,2537.3,48208.7,GCP-BigQuery
WOM-0000060,WO-000065,SUP-025,Control card,14,1146.57,16051.98,GCP-BigQuery
WOM-0000061,WO-000065,SUP-061,Seal assembly,11,2400.42,26404.62,GCP-BigQuery
WOM-0000062,WO-000065,SUP-113,Valve actuator,11,392.45,4316.95,GCP-BigQuery
WOM-0000063,WO-000066,SUP-020,Motor winding kit,2,2673.56,5347.12,GCP-BigQuery
WOM-0000064,WO-000066,SUP-008,Pressure transmitter,13,1862.08,24207.04,GCP-BigQuery
WOM-0000065,WO-000068,SUP-018,Impeller,6,4006.29,24037.74,GCP-BigQuery
WOM-0000066,WO-000068,SUP-015,Relay module,3,3974.89,11924.67,GCP-BigQuery
WOM-0000067,WO-000069,SUP-078,Bearing set,12,170.92,2051.04,GCP-BigQuery
WOM-0000068,WO-000069,SUP-086,Lubricant drum,12,3921.06,47052.72,GCP-BigQuery
WOM-0000069,WO-000069,SUP-077,Lubricant drum,9,975.06,8775.54,GCP-BigQuery
WOM-0000070,WO-000075,SUP-084,Impeller,8,1505.64,12045.12,GCP-BigQuery
WOM-0000071,WO-000075,SUP-119,Motor winding kit,15,2956.01,44340.15,GCP-BigQuery
WOM-0000072,WO-000076,SUP-149,Motor winding kit,12,2743.28,32919.36,GCP-BigQuery
WOM-0000073,WO-000076,SUP-087,Control card,8,3643.91,29151.28,GCP-BigQuery
WOM-0000074,WO-000077,SUP-145,Lubricant drum,13,278.56,3621.28,GCP-BigQuery
WOM-0000075,WO-000081,SUP-138,Motor winding kit,9,2383.68,21453.12,GCP-BigQuery
WOM-0000076,WO-000081,SUP-121,Valve actuator,16,3036.39,48582.24,GCP-BigQuery
WOM-0000077,WO-000081,SUP-055,Motor winding kit,14,36.94,517.16,GCP-BigQuery
WOM-0000078,WO-000089,SUP-113,Filter element,13,2147.98,27923.74,GCP-BigQuery
WOM-0000079,WO-000093,SUP-088,Impeller,2,1951.84,3903.68,GCP-BigQuery
WOM-0000080,WO-000097,SUP-105,Gasket kit,9,477.27,4295.43,GCP-BigQuery
WOM-0000081,WO-000100,SUP-016,Valve actuator,11,1222.45,13446.95,GCP-BigQuery
WOM-0000082,WO-000100,SUP-001,Valve actuator,3,3354.99,10064.97,GCP-BigQuery
WOM-0000083,WO-000100,SUP-001,Control card,13,2291.62,29791.06,GCP-BigQuery
WOM-0000084,WO-000101,SUP-006,Coupling,15,172.9,2593.5,GCP-BigQuery
WOM-0000085,WO-000101,SUP-083,Coupling,7,2899.65,20297.55,GCP-BigQuery
WOM-0000086,WO-000105,SUP-150,Bearing set,5,2877.05,14385.25,GCP-BigQuery
WOM-0000087,WO-000105,SUP-084,Impeller,12,1795.61,21547.32,GCP-BigQuery
WOM-0000088,WO-000111,SUP-033,Valve actuator,18,2381.04,42858.72,GCP-BigQuery
WOM-0000089,WO-000118,SUP-077,Impeller,3,157.35,472.05,GCP-BigQuery
WOM-0000090,WO-000125,SUP-032,Control card,4,1297.67,5190.68,GCP-BigQuery
WOM-0000091,WO-000125,SUP-045,Control card,17,1723.63,29301.71,GCP-BigQuery
WOM-0000092,WO-000127,SUP-117,Coupling,11,1904.54,20949.94,GCP-BigQuery
WOM-0000093,WO-000127,SUP-110,Valve actuator,15,1381.83,20727.45,GCP-BigQuery
WOM-0000094,WO-000129,SUP-021,Motor winding kit,7,3706.21,25943.47,GCP-BigQuery
WOM-0000095,WO-000129,SUP-034,Motor winding kit,15,3872.91,58093.65,GCP-BigQuery
WOM-0000096,WO-000130,SUP-021,Bearing set,9,1640.18,14761.62,GCP-BigQuery
WOM-0000097,WO-000136,SUP-072,Relay module,7,41.38,289.66,GCP-BigQuery
WOM-0000098,WO-000136,SUP-022,Control card,3,2116.48,6349.44,GCP-BigQuery
WOM-0000099,WO-000137,SUP-026,Seal assembly,11,2606.03,28666.33,GCP-BigQuery
WOM-0000100,WO-000137,SUP-124,Control card,15,3593.64,53904.6,GCP-BigQuery
WOM-0000101,WO-000137,SUP-006,Valve actuator,18,2563.18,46137.24,GCP-BigQuery
WOM-0000102,WO-000140,SUP-116,Gasket kit,11,4064.44,44708.84,GCP-BigQuery
WOM-0000103,WO-000147,SUP-028,Control card,3,3362.11,10086.33,GCP-BigQuery
WOM-0000104,WO-000147,SUP-046,Seal assembly,14,4107.9,57510.6,GCP-BigQuery
WOM-0000105,WO-000148,SUP-129,Coupling,16,287.56,4600.96,GCP-BigQuery
WOM-0000106,WO-000149,SUP-088,Pressure transmitter,4,714.38,2857.52,GCP-BigQuery
WOM-0000107,WO-000150,SUP-056,Coupling,15,3083.89,46258.35,GCP-BigQuery
WOM-0000108,WO-000150,SUP-062,Bearing set,2,143.24,286.48,GCP-BigQuery
WOM-0000109,WO-000151,SUP-043,Pressure transmitter,12,3977.82,47733.84,GCP-BigQuery
WOM-0000110,WO-000151,SUP-036,Impeller,6,1090.21,6541.26,GCP-BigQuery
WOM-0000111,WO-000151,SUP-013,Motor winding kit,13,695.88,9046.44,GCP-BigQuery
WOM-0000112,WO-000164,SUP-093,Lubricant drum,7,510.75,3575.25,GCP-BigQuery
WOM-0000113,WO-000164,SUP-121,Control card,18,3929.91,70738.38,GCP-BigQuery
WOM-0000114,WO-000169,SUP-011,Impeller,2,2541.56,5083.12,GCP-BigQuery
WOM-0000115,WO-000169,SUP-047,Coupling,11,29.76,327.36,GCP-BigQuery
WOM-0000116,WO-000169,SUP-100,Filter element,19,1753.38,33314.22,GCP-BigQuery
WOM-0000117,WO-000172,SUP-017,Pressure transmitter,6,442.41,2654.46,GCP-BigQuery
WOM-0000118,WO-000172,SUP-073,Bearing set,1,2832.58,2832.58,GCP-BigQuery
WOM-0000119,WO-000172,SUP-020,Relay module,17,98.99,1682.83,GCP-BigQuery
WOM-0000120,WO-000176,SUP-025,Impeller,7,2786.67,19506.69,GCP-BigQuery
WOM-0000121,WO-000176,SUP-149,Control card,4,1764.88,7059.52,GCP-BigQuery
WOM-0000122,WO-000176,SUP-078,Motor winding kit,11,737.05,8107.55,GCP-BigQuery
WOM-0000123,WO-000188,SUP-007,Filter element,19,527.45,10021.55,GCP-BigQuery
WOM-0000124,WO-000188,SUP-084,Coupling,13,2264.95,29444.35,GCP-BigQuery
WOM-0000125,WO-000188,SUP-084,Bearing set,15,2570.11,38551.65,GCP-BigQuery
WOM-0000126,WO-000197,SUP-043,Valve actuator,11,2924.74,32172.14,GCP-BigQuery
WOM-0000127,WO-000197,SUP-054,Seal assembly,7,238.49,1669.43,GCP-BigQuery
WOM-0000128,WO-000198,SUP-081,Pressure transmitter,3,1982.9,5948.7,GCP-BigQuery
WOM-0000129,WO-000198,SUP-077,Bearing set,6,1178.86,7073.16,GCP-BigQuery
WOM-0000130,WO-000198,SUP-107,Control card,6,1160.07,6960.42,GCP-BigQuery
WOM-0000131,WO-000206,SUP-077,Impeller,9,1638.53,14746.77,GCP-BigQuery
WOM-0000132,WO-000207,SUP-129,Gasket kit,10,2000.42,20004.2,GCP-BigQuery
WOM-0000133,WO-000212,SUP-102,Filter element,18,520.32,9365.76,GCP-BigQuery
WOM-0000134,WO-000212,SUP-029,Bearing set,9,3560.32,32042.88,GCP-BigQuery
WOM-0000135,WO-000212,SUP-149,Seal assembly,5,2449.99,12249.95,GCP-BigQuery
WOM-0000136,WO-000213,SUP-089,Coupling,5,2091.17,10455.85,GCP-BigQuery
WOM-0000137,WO-000213,SUP-108,Bearing set,5,2072.62,10363.1,GCP-BigQuery
WOM-0000138,WO-000222,SUP-005,Motor winding kit,10,3301.45,33014.5,GCP-BigQuery
