task_id,wo_id,task_seq,discipline,description,task_status,planned_hours,actual_hours,origin_system
WOT-0000001,WO-900001,1,Piping,Away some shoulder idea seek reason theory,In Progress,34.83,,GCP-BigQuery
WOT-0000002,WO-900001,2,Mechanical,Wear force able similar run room learn,In Progress,7.52,,GCP-BigQuery
WOT-0000003,WO-900001,3,Mechanical,Sure somebody huge why station manager,Open,24.89,,GCP-BigQuery
WOT-0000004,WO-900001,4,Structural,Stock front official not magazine gas,Open,18.64,,GCP-BigQuery
WOT-0000005,WO-000001,1,Electrical,Animal phone student,Completed,31.1,27.91,GCP-BigQuery
WOT-0000006,WO-000001,2,Piping,Buy tax kid,Completed,8.11,8.0,GCP-BigQuery
WOT-0000007,WO-000002,1,Piping,Yeah into yet,Completed,28.41,,GCP-BigQuery
WOT-0000008,WO-000002,2,Piping,Think few themselves theory,Open,33.52,,GCP-BigQuery
WOT-0000009,WO-000003,1,Piping,Pressure economy head tough,Completed,14.91,20.8,GCP-BigQuery
WOT-0000010,WO-000003,2,Mechanical,Appear personal rise sense,Completed,24.13,22.65,GCP-BigQuery
WOT-0000011,WO-000004,1,Mechanical,Pretty region ability live car difficult,Completed,29.49,,GCP-BigQuery
WOT-0000012,WO-000004,2,Piping,Act receive stage write institution car,Completed,27.31,,GCP-BigQuery
WOT-0000013,WO-000005,1,I&C,Director become south billion,Completed,36.7,,GCP-BigQuery
WOT-0000014,WO-000006,1,Piping,Thing case similar send card year,Completed,26.74,38.06,GCP-BigQuery
WOT-0000015,WO-000006,2,Piping,Attention none particular clearly,Completed,37.28,38.52,GCP-BigQuery
WOT-0000016,WO-000006,3,I&C,Reveal physical character in rather team,Completed,15.82,21.44,GCP-BigQuery
WOT-0000017,WO-000007,1,Piping,To cause but role,Completed,4.94,,GCP-BigQuery
WOT-0000018,WO-000007,2,Mechanical,White fire cause everybody base network,In Progress,36.21,,GCP-BigQuery
WOT-0000019,WO-000008,1,Electrical,Return expect wait agree suggest then day parent,In Progress,38.17,,GCP-BigQuery
WOT-0000020,WO-000008,2,Mechanical,Security far approach today west,Completed,31.79,,GCP-BigQuery
WOT-0000021,WO-000008,3,I&C,History drop point audience thousand activity guess,Open,14.0,,GCP-BigQuery
WOT-0000022,WO-000008,4,Structural,Car team nothing half raise several,Open,39.89,,GCP-BigQuery
WOT-0000023,WO-000009,1,I&C,Admit attack energy always,Completed,26.71,33.26,GCP-BigQuery
WOT-0000024,WO-000009,2,Piping,We huge expert Republican,Completed,11.71,10.23,GCP-BigQuery
WOT-0000025,WO-000009,3,Piping,Interest I policy Mrs check base,Completed,33.5,29.33,GCP-BigQuery
WOT-0000026,WO-000010,1,Piping,Memory data space movie,Completed,31.77,27.04,GCP-BigQuery
WOT-0000027,WO-000010,2,Mechanical,Only shake power poor financial join,Completed,11.04,8.49,GCP-BigQuery
WOT-0000028,WO-000010,3,Piping,Around beat its law participant,Completed,9.25,9.84,GCP-BigQuery
WOT-0000029,WO-000010,4,Electrical,Program price compare actually case,Completed,37.35,37.73,GCP-BigQuery
WOT-0000030,WO-000011,1,Mechanical,Clearly well mission,Completed,39.18,41.02,GCP-BigQuery
