crew_id,crew_name,foreman_emp_id,project_id,discipline,origin_system
CRW-0001,I&C Crew 8,EMP-0071,PRJ-001,Civil,OnPrem-SQLServer
CRW-0002,Mechanical Crew 27,EMP-0034,PRJ-001,Process,OnPrem-SQLServer
CRW-0003,Mechanical Crew 15,EMP-0018,PRJ-001,I&C,OnPrem-SQLServer
CRW-0004,Piping Crew 3,EMP-0054,PRJ-001,Piping,OnPrem-SQLServer
CRW-0005,Process Crew 13,EMP-0009,PRJ-002,Mechanical,OnPrem-SQLServer
CRW-0006,Electrical Crew 19,EMP-0054,PRJ-002,Piping,OnPrem-SQLServer
CRW-0007,Mechanical Crew 12,EMP-0065,PRJ-002,Piping,OnPrem-SQLServer
CRW-0008,Electrical Crew 19,EMP-0030,PRJ-002,Process,OnPrem-SQLServer
CRW-0009,Civil Crew 20,EMP-0067,PRJ-003,Structural,OnPrem-SQLServer
CRW-0010,I&C Crew 16,EMP-0086,PRJ-003,Mechanical,OnPrem-SQLServer
CRW-0011,Electrical Crew 12,EMP-0079,PRJ-003,Electrical,OnPrem-SQLServer
CRW-0012,Process Crew 7,EMP-0024,PRJ-004,Process,OnPrem-SQLServer
CRW-0013,Civil Crew 9,EMP-0016,PRJ-004,Process,OnPrem-SQLServer
CRW-0014,Piping Crew 11,EMP-0113,PRJ-004,Structural,OnPrem-SQLServer
CRW-0015,Structural Crew 24,EMP-0030,PRJ-005,Process,OnPrem-SQLServer
CRW-0016,Civil Crew 1,EMP-0022,PRJ-005,I&C,OnPrem-SQLServer
CRW-0017,Civil Crew 21,EMP-0046,PRJ-005,Civil,OnPrem-SQLServer
CRW-0018,Mechanical Crew 7,EMP-0024,PRJ-005,I&C,OnPrem-SQLServer
CRW-0019,Process Crew 16,EMP-0042,PRJ-006,Civil,OnPrem-SQLServer
CRW-0020,Piping Crew 1,EMP-0020,PRJ-006,Piping,OnPrem-SQLServer
CRW-0021,Process Crew 11,EMP-0079,PRJ-006,Electrical,OnPrem-SQLServer
CRW-0022,Structural Crew 6,EMP-0032,PRJ-006,Mechanical,OnPrem-SQLServer
CRW-0023,Electrical Crew 20,EMP-0044,PRJ-007,Civil,OnPrem-SQLServer
CRW-0024,Mechanical Crew 13,EMP-0071,PRJ-007,Electrical,OnPrem-SQLServer
CRW-0025,Piping Crew 28,EMP-0030,PRJ-008,Process,OnPrem-SQLServer
CRW-0026,Civil Crew 23,EMP-0024,PRJ-008,Piping,OnPrem-SQLServer
CRW-0027,Mechanical Crew 24,EMP-0111,PRJ-008,I&C,OnPrem-SQLServer
CRW-0028,I&C Crew 9,EMP-0099,PRJ-009,Electrical,OnPrem-SQLServer
CRW-0029,I&C Crew 28,EMP-0018,PRJ-009,Structural,OnPrem-SQLServer
CRW-0030,Structural Crew 10,EMP-0111,PRJ-010,Civil,OnPrem-SQLServer
CRW-0031,I&C Crew 9,EMP-0013,PRJ-010,I&C,OnPrem-SQLServer
CRW-0032,I&C Crew 14,EMP-0113,PRJ-011,Mechanical,OnPrem-SQLServer
CRW-0033,Mechanical Crew 22,EMP-0089,PRJ-011,Process,OnPrem-SQLServer
CRW-0034,Civil Crew 29,EMP-0071,PRJ-012,I&C,OnPrem-SQLServer
CRW-0035,Mechanical Crew 9,EMP-0089,PRJ-012,Process,OnPrem-SQLServer
CRW-0036,Structural Crew 29,EMP-0113,PRJ-012,I&C,OnPrem-SQLServer
CRW-0037,Civil Crew 24,EMP-0007,PRJ-012,I&C,OnPrem-SQLServer
