charge_id,project_id,wbs_id,cost_code_id,week_ending,reg_hours,ot_hours,amount,origin_system
LC-00000001,PRJ-001,WBS-00001,CC-00002,2026-07-31,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000002,PRJ-001,WBS-00001,CC-00006,2026-07-03,8.0,0.0,279.92,OnPrem-SQLServer
LC-00000003,PRJ-001,WBS-00001,CC-00006,2026-07-31,8.0,1.09,854.72,OnPrem-SQLServer
LC-00000004,PRJ-001,WBS-00001,CC-00007,2026-05-22,8.0,1.01,647.21,OnPrem-SQLServer
LC-00000005,PRJ-001,WBS-00001,CC-00008,2026-05-01,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000006,PRJ-001,WBS-00001,CC-00008,2026-06-19,8.0,1.95,969.16,OnPrem-SQLServer
LC-00000007,PRJ-001,WBS-00001,CC-00009,2026-05-29,8.0,3.48,433.48,OnPrem-SQLServer
LC-00000008,PRJ-001,WBS-00001,CC-00009,2026-07-17,8.0,2.11,937.53,OnPrem-SQLServer
LC-00000009,PRJ-001,WBS-00002,CC-00001,2026-05-15,8.0,3.56,782.52,OnPrem-SQLServer
LC-00000010,PRJ-001,WBS-00002,CC-00001,2026-06-26,8.0,1.2,666.6,OnPrem-SQLServer
LC-00000011,PRJ-001,WBS-00002,CC-00001,2026-07-03,8.0,3.12,862.49,OnPrem-SQLServer
LC-00000012,PRJ-001,WBS-00002,CC-00001,2026-07-10,8.0,2.38,422.3,OnPrem-SQLServer
LC-00000013,PRJ-001,WBS-00002,CC-00002,2026-06-05,8.0,3.43,1103.79,OnPrem-SQLServer
LC-00000014,PRJ-001,WBS-00002,CC-00004,2026-05-29,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000015,PRJ-001,WBS-00002,CC-00004,2026-07-10,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000016,PRJ-001,WBS-00002,CC-00005,2026-05-01,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000017,PRJ-001,WBS-00002,CC-00005,2026-06-19,8.0,3.88,483.56,OnPrem-SQLServer
LC-00000018,PRJ-001,WBS-00002,CC-00006,2026-06-26,8.0,0.0,279.92,OnPrem-SQLServer
LC-00000019,PRJ-001,WBS-00002,CC-00006,2026-07-03,8.0,1.08,748.34,OnPrem-SQLServer
LC-00000020,PRJ-001,WBS-00002,CC-00006,2026-07-10,8.0,3.71,474.64,OnPrem-SQLServer
LC-00000021,PRJ-001,WBS-00002,CC-00006,2026-07-24,8.0,0.0,279.92,OnPrem-SQLServer
LC-00000022,PRJ-001,WBS-00002,CC-00007,2026-04-17,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000023,PRJ-001,WBS-00002,CC-00007,2026-06-05,8.0,1.26,324.29,OnPrem-SQLServer
LC-00000024,PRJ-001,WBS-00002,CC-00007,2026-06-19,8.0,1.48,906.62,OnPrem-SQLServer
LC-00000025,PRJ-001,WBS-00002,CC-00008,2026-07-03,8.0,0.0,447.28,OnPrem-SQLServer
LC-00000026,PRJ-001,WBS-00002,CC-00009,2026-05-29,8.0,0.0,452.8,OnPrem-SQLServer
LC-00000027,PRJ-001,WBS-00002,CC-00009,2026-06-26,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000028,PRJ-001,WBS-00003,CC-00001,2026-06-12,8.0,0.0,671.76,OnPrem-SQLServer
LC-00000029,PRJ-001,WBS-00003,CC-00001,2026-07-03,16.0,5.81,1441.03,OnPrem-SQLServer
LC-00000030,PRJ-001,WBS-00003,CC-00002,2026-07-17,8.0,2.78,1079.6,OnPrem-SQLServer
LC-00000031,PRJ-001,WBS-00003,CC-00003,2026-05-15,8.0,2.82,951.37,OnPrem-SQLServer
LC-00000032,PRJ-001,WBS-00003,CC-00003,2026-06-05,8.0,1.82,729.85,OnPrem-SQLServer
LC-00000033,PRJ-001,WBS-00003,CC-00004,2026-05-01,8.0,3.1,742.05,OnPrem-SQLServer
LC-00000034,PRJ-001,WBS-00003,CC-00004,2026-05-08,8.0,0.0,594.48,OnPrem-SQLServer
LC-00000035,PRJ-001,WBS-00003,CC-00004,2026-07-17,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000036,PRJ-001,WBS-00003,CC-00005,2026-07-10,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000037,PRJ-001,WBS-00003,CC-00007,2026-07-24,8.0,0.0,279.92,OnPrem-SQLServer
LC-00000038,PRJ-001,WBS-00003,CC-00008,2026-05-15,8.0,2.58,923.37,OnPrem-SQLServer
LC-00000039,PRJ-001,WBS-00003,CC-00008,2026-06-12,8.0,0.0,477.44,OnPrem-SQLServer
LC-00000040,PRJ-001,WBS-00003,CC-00008,2026-07-03,8.0,2.74,423.73,OnPrem-SQLServer
LC-00000041,PRJ-001,WBS-00003,CC-00009,2026-05-22,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000042,PRJ-001,WBS-00003,CC-00009,2026-07-31,8.0,0.0,709.68,OnPrem-SQLServer
LC-00000043,PRJ-001,WBS-00004,CC-00003,2026-06-12,8.0,3.14,862.25,OnPrem-SQLServer
LC-00000044,PRJ-001,WBS-00004,CC-00003,2026-06-26,8.0,11.53,1483.8,OnPrem-SQLServer
LC-00000045,PRJ-001,WBS-00004,CC-00005,2026-05-15,8.0,3.92,1079.73,OnPrem-SQLServer
LC-00000046,PRJ-001,WBS-00004,CC-00005,2026-06-26,8.0,1.57,918.59,OnPrem-SQLServer
LC-00000047,PRJ-001,WBS-00004,CC-00007,2026-06-12,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000048,PRJ-001,WBS-00005,CC-00002,2026-06-26,8.0,1.61,582.3,OnPrem-SQLServer
LC-00000049,PRJ-001,WBS-00005,CC-00002,2026-07-10,8.0,0.0,709.68,OnPrem-SQLServer
LC-00000050,PRJ-001,WBS-00005,CC-00003,2026-06-19,8.0,2.61,1056.98,OnPrem-SQLServer
LC-00000051,PRJ-001,WBS-00005,CC-00003,2026-07-31,8.0,3.88,1225.97,OnPrem-SQLServer
LC-00000052,PRJ-001,WBS-00005,CC-00004,2026-07-24,8.0,2.79,681.26,OnPrem-SQLServer
LC-00000053,PRJ-001,WBS-00005,CC-00005,2026-06-26,8.0,1.79,575.07,OnPrem-SQLServer
LC-00000054,PRJ-001,WBS-00005,CC-00006,2026-06-05,8.0,0.0,452.8,OnPrem-SQLServer
LC-00000055,PRJ-001,WBS-00005,CC-00008,2026-06-26,8.0,2.4,577.22,OnPrem-SQLServer
LC-00000056,PRJ-001,WBS-00005,CC-00009,2026-06-26,8.0,1.78,596.56,OnPrem-SQLServer
LC-00000057,PRJ-001,WBS-00006,CC-00002,2026-07-03,8.0,2.54,387.25,OnPrem-SQLServer
LC-00000058,PRJ-001,WBS-00006,CC-00002,2026-07-24,8.0,1.4,785.68,OnPrem-SQLServer
LC-00000059,PRJ-001,WBS-00006,CC-00003,2026-06-26,0.0,9.73,478.57,OnPrem-SQLServer
LC-00000060,PRJ-001,WBS-00006,CC-00004,2026-04-24,8.0,2.66,393.15,OnPrem-SQLServer
LC-00000061,PRJ-001,WBS-00006,CC-00004,2026-05-29,8.0,1.88,634.7,OnPrem-SQLServer
LC-00000062,PRJ-001,WBS-00006,CC-00004,2026-06-19,8.0,2.68,817.6,OnPrem-SQLServer
LC-00000063,PRJ-001,WBS-00006,CC-00005,2026-05-22,8.0,1.95,640.86,OnPrem-SQLServer
LC-00000064,PRJ-001,WBS-00006,CC-00005,2026-05-29,8.0,0.0,557.84,OnPrem-SQLServer
LC-00000065,PRJ-001,WBS-00006,CC-00007,2026-07-31,8.0,1.47,549.23,OnPrem-SQLServer
LC-00000066,PRJ-001,WBS-00006,CC-00008,2026-06-26,8.0,3.51,741.65,OnPrem-SQLServer
LC-00000067,PRJ-001,WBS-00006,CC-00008,2026-07-17,8.0,3.09,1120.85,OnPrem-SQLServer
LC-00000068,PRJ-001,WBS-00007,CC-00002,2026-07-24,8.0,1.16,817.87,OnPrem-SQLServer
LC-00000069,PRJ-001,WBS-00007,CC-00003,2026-06-19,8.0,2.93,667.1,OnPrem-SQLServer
LC-00000070,PRJ-001,WBS-00007,CC-00003,2026-06-26,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000071,PRJ-001,WBS-00007,CC-00005,2026-06-05,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000072,PRJ-001,WBS-00007,CC-00006,2026-06-26,8.0,0.0,612.8,OnPrem-SQLServer
LC-00000073,PRJ-001,WBS-00008,CC-00002,2026-07-10,8.0,1.08,336.6,OnPrem-SQLServer
LC-00000074,PRJ-001,WBS-00008,CC-00003,2026-06-12,8.0,1.89,635.58,OnPrem-SQLServer
LC-00000075,PRJ-001,WBS-00008,CC-00006,2026-07-03,8.0,1.36,890.65,OnPrem-SQLServer
LC-00000076,PRJ-001,WBS-00008,CC-00008,2026-06-19,8.0,2.79,828.82,OnPrem-SQLServer
LC-00000077,PRJ-001,WBS-00008,CC-00009,2026-05-01,8.0,1.87,633.82,OnPrem-SQLServer
LC-00000078,PRJ-001,WBS-00008,CC-00009,2026-06-19,8.0,1.18,485.96,OnPrem-SQLServer
LC-00000079,PRJ-001,WBS-00009,CC-00002,2026-06-12,8.0,0.0,542.72,OnPrem-SQLServer
LC-00000080,PRJ-001,WBS-00009,CC-00007,2026-07-17,8.0,1.18,552.98,OnPrem-SQLServer
LC-00000081,PRJ-001,WBS-00009,CC-00009,2026-05-08,8.0,0.0,594.48,OnPrem-SQLServer
LC-00000082,PRJ-001,WBS-00009,CC-00009,2026-07-31,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000083,PRJ-001,WBS-00010,CC-00001,2026-07-17,8.0,2.94,727.97,OnPrem-SQLServer
LC-00000084,PRJ-001,WBS-00010,CC-00002,2026-06-05,8.0,3.47,898.2,OnPrem-SQLServer
LC-00000085,PRJ-001,WBS-00010,CC-00002,2026-07-24,0.0,9.28,946.84,OnPrem-SQLServer
LC-00000086,PRJ-001,WBS-00010,CC-00003,2026-07-10,8.0,0.0,430.56,OnPrem-SQLServer
LC-00000087,PRJ-001,WBS-00010,CC-00005,2026-06-26,8.0,1.45,575.9,OnPrem-SQLServer
LC-00000088,PRJ-001,WBS-00010,CC-00005,2026-07-17,8.0,1.82,607.32,OnPrem-SQLServer
LC-00000089,PRJ-001,WBS-00010,CC-00006,2026-07-10,8.0,1.55,555.69,OnPrem-SQLServer
LC-00000090,PRJ-001,WBS-00010,CC-00007,2026-05-22,8.0,1.15,550.44,OnPrem-SQLServer
LC-00000091,PRJ-001,WBS-00010,CC-00007,2026-06-26,8.0,2.74,1074.28,OnPrem-SQLServer
LC-00000092,PRJ-001,WBS-00010,CC-00009,2026-05-08,0.0,8.65,425.45,OnPrem-SQLServer
LC-00000093,PRJ-001,WBS-00011,CC-00002,2026-07-17,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000094,PRJ-001,WBS-00011,CC-00002,2026-07-24,8.0,3.59,720.38,OnPrem-SQLServer
LC-00000095,PRJ-001,WBS-00011,CC-00003,2026-05-22,8.0,0.0,544.16,OnPrem-SQLServer
LC-00000096,PRJ-001,WBS-00011,CC-00004,2026-07-17,16.0,0.0,1215.92,OnPrem-SQLServer
LC-00000097,PRJ-001,WBS-00011,CC-00004,2026-07-24,8.0,0.0,262.32,OnPrem-SQLServer
LC-00000098,PRJ-001,WBS-00011,CC-00006,2026-07-24,8.0,0.0,430.56,OnPrem-SQLServer
LC-00000099,PRJ-001,WBS-00011,CC-00007,2026-06-19,8.0,0.0,469.28,OnPrem-SQLServer
LC-00000100,PRJ-001,WBS-00011,CC-00008,2026-05-22,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000101,PRJ-001,WBS-00011,CC-00009,2026-06-19,8.0,1.54,604.78,OnPrem-SQLServer
LC-00000102,PRJ-001,WBS-00012,CC-00001,2026-05-22,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000103,PRJ-001,WBS-00012,CC-00002,2026-07-31,8.0,0.0,447.28,OnPrem-SQLServer
LC-00000104,PRJ-001,WBS-00012,CC-00003,2026-06-05,8.0,1.47,694.14,OnPrem-SQLServer
LC-00000105,PRJ-001,WBS-00012,CC-00004,2026-05-22,8.0,1.26,580.15,OnPrem-SQLServer
LC-00000106,PRJ-001,WBS-00012,CC-00005,2026-06-26,8.0,1.65,712.51,OnPrem-SQLServer
LC-00000107,PRJ-001,WBS-00012,CC-00007,2026-06-12,8.0,1.59,704.52,OnPrem-SQLServer
LC-00000108,PRJ-001,WBS-00012,CC-00007,2026-07-03,8.0,0.0,671.76,OnPrem-SQLServer
LC-00000109,PRJ-001,WBS-00013,CC-00003,2026-05-29,0.0,9.08,798.95,OnPrem-SQLServer
LC-00000110,PRJ-001,WBS-00013,CC-00004,2026-07-31,8.0,3.14,864.53,OnPrem-SQLServer
LC-00000111,PRJ-001,WBS-00013,CC-00005,2026-07-03,0.0,6.88,701.97,OnPrem-SQLServer
LC-00000112,PRJ-001,WBS-00013,CC-00005,2026-07-24,8.0,0.0,622.32,OnPrem-SQLServer
LC-00000113,PRJ-001,WBS-00013,CC-00006,2026-06-19,0.0,6.08,544.28,OnPrem-SQLServer
LC-00000114,PRJ-001,WBS-00013,CC-00006,2026-07-10,0.0,8.69,886.64,OnPrem-SQLServer
LC-00000115,PRJ-001,WBS-00013,CC-00006,2026-07-24,0.0,6.77,574.77,OnPrem-SQLServer
LC-00000116,PRJ-001,WBS-00013,CC-00007,2026-07-03,8.0,2.15,627.59,OnPrem-SQLServer
