entry_id,timesheet_id,emp_id,work_date,project_id,wbs_id,cost_code_id,clock_in,clock_out,hours,overtime_hours,origin_system
TE-00000001,TS-0000001,EMP-0001,2026-05-11,PRJ-002,WBS-00069,CC-00012,2026-05-11 06:00:00,2026-05-11 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000002,TS-0000001,EMP-0001,2026-05-12,PRJ-002,WBS-00085,CC-00014,2026-05-12 06:15:00,2026-05-12 15:45:00,9.0,1.0,OnPrem-SQLServer
TE-00000003,TS-0000001,EMP-0001,2026-05-13,PRJ-002,WBS-00057,CC-00014,2026-05-13 06:15:00,2026-05-13 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000004,TS-0000001,EMP-0001,2026-05-14,PRJ-002,WBS-00081,CC-00018,2026-05-14 06:15:00,2026-05-14 14:45:00,8.0,0.0,OnPrem-SQLServer
TE-00000005,TS-0000001,EMP-0001,2026-05-15,PRJ-002,WBS-00065,CC-00014,2026-05-15 06:00:00,2026-05-15 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000006,TS-0000002,EMP-0001,2026-05-18,PRJ-002,WBS-00085,CC-00012,2026-05-18 06:30:00,2026-05-18 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000007,TS-0000002,EMP-0001,2026-05-19,PRJ-002,WBS-00052,CC-00017,2026-05-19 06:00:00,2026-05-19 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000008,TS-0000002,EMP-0001,2026-05-20,PRJ-002,WBS-00078,CC-00015,2026-05-20 06:30:00,2026-05-20 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000009,TS-0000002,EMP-0001,2026-05-21,PRJ-002,WBS-00075,CC-00014,2026-05-21 06:00:00,2026-05-21 14:30:00,8.0,0.0,OnPrem-SQLServer
TE-00000010,TS-0000002,EMP-0001,2026-05-22,PRJ-002,WBS-00078,CC-00010,2026-05-22 06:30:00,2026-05-22 15:00:00,8.0,0.0,OnPrem-SQLServer
TE-00000011,TS-0000003,EMP-0001,2026-05-25,PRJ-002,WBS-00058,CC-00012,2026-05-25 06:15:00,2026-05-25 14:45:00,8.0,0.0,OnPrem-SQLServer
