timesheet_id,emp_id,week_ending,project_id,status,total_hours,origin_system
TS-0000001,EMP-0001,2026-05-15,PRJ-002,Approved,41.0,OnPrem-SQLServer
TS-0000002,EMP-0001,2026-05-22,PRJ-002,Approved,40.0,OnPrem-SQLServer
TS-0000003,EMP-0001,2026-05-29,PRJ-002,Submitted,40.0,OnPrem-SQLServer
TS-0000004,EMP-0001,2026-06-05,PRJ-002,Approved,41.67,OnPrem-SQLServer
TS-0000005,EMP-0001,2026-06-12,PRJ-002,Approved,40.0,OnPrem-SQLServer
TS-0000006,EMP-0001,2026-07-03,PRJ-002,Approved,42.42,OnPrem-SQLServer
TS-0000007,EMP-0001,2026-07-10,PRJ-002,Submitted,40.0,OnPrem-SQLServer
TS-0000008,EMP-0001,2026-07-17,PRJ-002,Approved,40.58,OnPrem-SQLServer
TS-0000009,EMP-0001,2026-07-24,PRJ-002,Approved,41.25,OnPrem-SQLServer
TS-0000010,EMP-0001,2026-07-31,PRJ-002,Approved,41.91,OnPrem-SQLServer
TS-0000011,EMP-0002,2026-05-01,PRJ-006,Approved,41.34,OnPrem-SQLServer
TS-0000012,EMP-0002,2026-05-08,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000013,EMP-0002,2026-05-15,PRJ-006,Approved,41.46,OnPrem-SQLServer
TS-0000014,EMP-0002,2026-05-22,PRJ-006,Approved,41.46,OnPrem-SQLServer
TS-0000015,EMP-0002,2026-05-29,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000016,EMP-0002,2026-06-05,PRJ-004,Approved,44.23,OnPrem-SQLServer
TS-0000017,EMP-0002,2026-06-12,PRJ-006,Submitted,40.0,OnPrem-SQLServer
TS-0000018,EMP-0002,2026-06-19,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000019,EMP-0002,2026-06-26,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000020,EMP-0002,2026-07-17,PRJ-006,Approved,40.77,OnPrem-SQLServer
TS-0000021,EMP-0002,2026-07-31,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000022,EMP-0003,2026-05-29,PRJ-003,Submitted,40.0,OnPrem-SQLServer
TS-0000023,EMP-0003,2026-06-05,PRJ-005,Submitted,41.56,OnPrem-SQLServer
TS-0000024,EMP-0003,2026-06-12,PRJ-003,Approved,42.35,OnPrem-SQLServer
TS-0000025,EMP-0003,2026-06-19,PRJ-008,Approved,43.02,OnPrem-SQLServer
TS-0000026,EMP-0003,2026-06-26,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000027,EMP-0003,2026-07-03,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000028,EMP-0003,2026-07-10,PRJ-003,Approved,42.38,OnPrem-SQLServer
TS-0000029,EMP-0003,2026-07-24,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000030,EMP-0003,2026-07-31,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000031,EMP-0004,2026-06-12,PRJ-010,Approved,40.91,OnPrem-SQLServer
TS-0000032,EMP-0004,2026-06-19,PRJ-001,Submitted,45.87,OnPrem-SQLServer
TS-0000033,EMP-0004,2026-06-26,PRJ-010,Approved,41.42,OnPrem-SQLServer
TS-0000034,EMP-0004,2026-07-03,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000035,EMP-0004,2026-07-10,PRJ-001,Approved,47.09,OnPrem-SQLServer
TS-0000036,EMP-0004,2026-07-17,PRJ-010,Approved,41.32,OnPrem-SQLServer
TS-0000037,EMP-0004,2026-07-24,PRJ-010,Approved,41.85,OnPrem-SQLServer
TS-0000038,EMP-0004,2026-07-31,PRJ-010,Approved,41.02,OnPrem-SQLServer
TS-0000039,EMP-0006,2026-06-19,PRJ-012,Approved,40.0,OnPrem-SQLServer
TS-0000040,EMP-0006,2026-06-26,PRJ-012,Submitted,40.0,OnPrem-SQLServer
TS-0000041,EMP-0006,2026-07-03,PRJ-010,Approved,43.05,OnPrem-SQLServer
TS-0000042,EMP-0006,2026-07-10,PRJ-012,Approved,41.13,OnPrem-SQLServer
TS-0000043,EMP-0006,2026-07-24,PRJ-012,Approved,43.29,OnPrem-SQLServer
TS-0000044,EMP-0006,2026-07-31,PRJ-004,Approved,41.51,OnPrem-SQLServer
TS-0000045,EMP-0007,2026-06-12,PRJ-001,Approved,40.8,OnPrem-SQLServer
TS-0000046,EMP-0007,2026-06-19,PRJ-001,Approved,59.75,OnPrem-SQLServer
TS-0000047,EMP-0007,2026-06-26,PRJ-001,Approved,58.78,OnPrem-SQLServer
TS-0000048,EMP-0007,2026-07-03,PRJ-001,Approved,50.54,OnPrem-SQLServer
TS-0000049,EMP-0007,2026-07-10,PRJ-001,Approved,61.96,OnPrem-SQLServer
TS-0000050,EMP-0007,2026-07-17,PRJ-001,Approved,61.22,OnPrem-SQLServer
TS-0000051,EMP-0007,2026-07-24,PRJ-012,Approved,40.0,OnPrem-SQLServer
TS-0000052,EMP-0007,2026-07-31,PRJ-001,Approved,47.71,OnPrem-SQLServer
TS-0000053,EMP-0009,2026-05-29,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000054,EMP-0009,2026-06-05,PRJ-010,Approved,40.98,OnPrem-SQLServer
TS-0000055,EMP-0009,2026-06-12,PRJ-010,Approved,43.61,OnPrem-SQLServer
TS-0000056,EMP-0009,2026-06-19,PRJ-010,Approved,42.52,OnPrem-SQLServer
TS-0000057,EMP-0009,2026-06-26,PRJ-004,Approved,41.73,OnPrem-SQLServer
TS-0000058,EMP-0009,2026-07-03,PRJ-010,Approved,40.83,OnPrem-SQLServer
TS-0000059,EMP-0009,2026-07-10,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000060,EMP-0009,2026-07-24,PRJ-010,Approved,40.84,OnPrem-SQLServer
TS-0000061,EMP-0009,2026-07-31,PRJ-002,Approved,40.0,OnPrem-SQLServer
TS-0000062,EMP-0010,2026-05-22,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000063,EMP-0010,2026-05-29,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000064,EMP-0010,2026-06-05,PRJ-005,Submitted,40.0,OnPrem-SQLServer
TS-0000065,EMP-0010,2026-06-12,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000066,EMP-0010,2026-06-19,PRJ-005,Submitted,40.0,OnPrem-SQLServer
TS-0000067,EMP-0010,2026-06-26,PRJ-005,Submitted,43.67,OnPrem-SQLServer
TS-0000068,EMP-0010,2026-07-03,PRJ-005,Submitted,41.86,OnPrem-SQLServer
TS-0000069,EMP-0010,2026-07-10,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000070,EMP-0010,2026-07-17,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000071,EMP-0010,2026-07-24,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000072,EMP-0010,2026-07-31,PRJ-005,Approved,41.37,OnPrem-SQLServer
TS-0000073,EMP-0012,2026-05-22,PRJ-012,Approved,41.79,OnPrem-SQLServer
TS-0000074,EMP-0012,2026-05-29,PRJ-012,Approved,40.86,OnPrem-SQLServer
TS-0000075,EMP-0012,2026-06-05,PRJ-012,Approved,40.0,OnPrem-SQLServer
TS-0000076,EMP-0012,2026-06-12,PRJ-007,Approved,40.0,OnPrem-SQLServer
TS-0000077,EMP-0012,2026-06-19,PRJ-012,Approved,40.58,OnPrem-SQLServer
TS-0000078,EMP-0012,2026-06-26,PRJ-012,Submitted,40.0,OnPrem-SQLServer
TS-0000079,EMP-0012,2026-07-03,PRJ-012,Approved,41.16,OnPrem-SQLServer
TS-0000080,EMP-0012,2026-07-10,PRJ-001,Approved,50.95,OnPrem-SQLServer
TS-0000081,EMP-0012,2026-07-17,PRJ-012,Approved,40.0,OnPrem-SQLServer
TS-0000082,EMP-0012,2026-07-24,PRJ-002,Approved,41.6,OnPrem-SQLServer
TS-0000083,EMP-0012,2026-07-31,PRJ-012,Approved,40.81,OnPrem-SQLServer
TS-0000084,EMP-0014,2026-06-19,PRJ-001,Approved,46.14,OnPrem-SQLServer
TS-0000085,EMP-0014,2026-06-26,PRJ-001,Approved,58.16,OnPrem-SQLServer
TS-0000086,EMP-0014,2026-07-10,PRJ-001,Submitted,48.5,OnPrem-SQLServer
TS-0000087,EMP-0014,2026-07-17,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000088,EMP-0014,2026-07-24,PRJ-001,Approved,43.59,OnPrem-SQLServer
TS-0000089,EMP-0014,2026-07-31,PRJ-001,Approved,48.18,OnPrem-SQLServer
TS-0000090,EMP-0015,2026-05-15,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000091,EMP-0015,2026-05-22,PRJ-003,Approved,43.34,OnPrem-SQLServer
TS-0000092,EMP-0015,2026-05-29,PRJ-008,Approved,42.61,OnPrem-SQLServer
TS-0000093,EMP-0015,2026-06-05,PRJ-003,Rejected,40.82,OnPrem-SQLServer
TS-0000094,EMP-0015,2026-06-12,PRJ-003,Approved,41.53,OnPrem-SQLServer
TS-0000095,EMP-0015,2026-06-19,PRJ-003,Submitted,41.5,OnPrem-SQLServer
TS-0000096,EMP-0015,2026-06-26,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000097,EMP-0015,2026-07-03,PRJ-003,Approved,41.78,OnPrem-SQLServer
TS-0000098,EMP-0015,2026-07-10,PRJ-003,Rejected,40.0,OnPrem-SQLServer
TS-0000099,EMP-0015,2026-07-17,PRJ-003,Rejected,41.44,OnPrem-SQLServer
TS-0000100,EMP-0015,2026-07-24,PRJ-003,Rejected,40.53,OnPrem-SQLServer
TS-0000101,EMP-0015,2026-07-31,PRJ-003,Approved,40.6,OnPrem-SQLServer
TS-0000102,EMP-0016,2026-06-12,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000103,EMP-0016,2026-06-19,PRJ-009,Submitted,41.12,OnPrem-SQLServer
TS-0000104,EMP-0016,2026-06-26,PRJ-009,Submitted,42.03,OnPrem-SQLServer
TS-0000105,EMP-0016,2026-07-10,PRJ-009,Submitted,40.0,OnPrem-SQLServer
TS-0000106,EMP-0016,2026-07-17,PRJ-009,Submitted,40.0,OnPrem-SQLServer
TS-0000107,EMP-0016,2026-07-24,PRJ-009,Approved,43.36,OnPrem-SQLServer
TS-0000108,EMP-0016,2026-07-31,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000109,EMP-0017,2026-05-22,PRJ-005,Approved,43.54,OnPrem-SQLServer
TS-0000110,EMP-0017,2026-05-29,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000111,EMP-0017,2026-06-05,PRJ-010,Approved,42.62,OnPrem-SQLServer
TS-0000112,EMP-0017,2026-06-12,PRJ-010,Submitted,43.45,OnPrem-SQLServer
TS-0000113,EMP-0017,2026-06-26,PRJ-010,Submitted,42.33,OnPrem-SQLServer
TS-0000114,EMP-0017,2026-07-03,PRJ-010,Submitted,40.9,OnPrem-SQLServer
TS-0000115,EMP-0017,2026-07-10,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000116,EMP-0017,2026-07-17,PRJ-010,Submitted,40.0,OnPrem-SQLServer
TS-0000117,EMP-0017,2026-07-24,PRJ-003,Approved,42.55,OnPrem-SQLServer
TS-0000118,EMP-0017,2026-07-31,PRJ-010,Approved,40.58,OnPrem-SQLServer
TS-0000119,EMP-0018,2026-05-15,PRJ-001,Approved,56.0,OnPrem-SQLServer
TS-0000120,EMP-0018,2026-05-22,PRJ-001,Approved,43.82,OnPrem-SQLServer
TS-0000121,EMP-0018,2026-06-05,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000122,EMP-0018,2026-06-12,PRJ-001,Approved,44.91,OnPrem-SQLServer
TS-0000123,EMP-0018,2026-06-19,PRJ-010,Submitted,40.0,OnPrem-SQLServer
TS-0000124,EMP-0018,2026-06-26,PRJ-001,Submitted,47.39,OnPrem-SQLServer
TS-0000125,EMP-0018,2026-07-03,PRJ-001,Approved,47.38,OnPrem-SQLServer
TS-0000126,EMP-0018,2026-07-17,PRJ-009,Approved,44.12,OnPrem-SQLServer
TS-0000127,EMP-0018,2026-07-24,PRJ-001,Approved,52.38,OnPrem-SQLServer
TS-0000128,EMP-0019,2026-04-24,PRJ-002,Approved,40.0,OnPrem-SQLServer
TS-0000129,EMP-0019,2026-05-01,PRJ-002,Approved,41.92,OnPrem-SQLServer
TS-0000130,EMP-0019,2026-05-08,PRJ-002,Approved,40.61,OnPrem-SQLServer
TS-0000131,EMP-0019,2026-05-15,PRJ-002,Approved,40.8,OnPrem-SQLServer
TS-0000132,EMP-0019,2026-05-22,PRJ-002,Approved,41.52,OnPrem-SQLServer
TS-0000133,EMP-0019,2026-05-29,PRJ-002,Approved,41.0,OnPrem-SQLServer
TS-0000134,EMP-0019,2026-06-05,PRJ-004,Approved,40.0,OnPrem-SQLServer
TS-0000135,EMP-0019,2026-06-12,PRJ-002,Approved,43.92,OnPrem-SQLServer
TS-0000136,EMP-0019,2026-06-26,PRJ-002,Approved,40.0,OnPrem-SQLServer
TS-0000137,EMP-0019,2026-07-03,PRJ-010,Submitted,41.43,OnPrem-SQLServer
TS-0000138,EMP-0019,2026-07-10,PRJ-002,Submitted,41.29,OnPrem-SQLServer
TS-0000139,EMP-0019,2026-07-17,PRJ-011,Approved,40.0,OnPrem-SQLServer
TS-0000140,EMP-0019,2026-07-24,PRJ-002,Approved,42.0,OnPrem-SQLServer
TS-0000141,EMP-0019,2026-07-31,PRJ-002,Approved,40.0,OnPrem-SQLServer
TS-0000142,EMP-0020,2026-05-01,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000143,EMP-0020,2026-05-08,PRJ-001,Approved,54.13,OnPrem-SQLServer
TS-0000144,EMP-0020,2026-05-15,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000145,EMP-0020,2026-05-22,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000146,EMP-0020,2026-06-05,PRJ-005,Submitted,41.62,OnPrem-SQLServer
TS-0000147,EMP-0020,2026-06-19,PRJ-005,Submitted,40.0,OnPrem-SQLServer
TS-0000148,EMP-0020,2026-06-26,PRJ-005,Approved,40.0,OnPrem-SQLServer
TS-0000149,EMP-0020,2026-07-10,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000150,EMP-0020,2026-07-17,PRJ-005,Rejected,40.0,OnPrem-SQLServer
TS-0000151,EMP-0020,2026-07-24,PRJ-006,Submitted,42.54,OnPrem-SQLServer
TS-0000152,EMP-0020,2026-07-31,PRJ-005,Submitted,40.0,OnPrem-SQLServer
TS-0000153,EMP-0021,2026-05-01,PRJ-001,Approved,46.38,OnPrem-SQLServer
TS-0000154,EMP-0021,2026-05-08,PRJ-001,Approved,54.1,OnPrem-SQLServer
TS-0000155,EMP-0021,2026-05-15,PRJ-001,Approved,54.92,OnPrem-SQLServer
TS-0000156,EMP-0021,2026-05-22,PRJ-001,Approved,54.54,OnPrem-SQLServer
TS-0000157,EMP-0021,2026-05-29,PRJ-001,Approved,48.3,OnPrem-SQLServer
TS-0000158,EMP-0021,2026-06-05,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000159,EMP-0021,2026-06-12,PRJ-001,Approved,46.65,OnPrem-SQLServer
TS-0000160,EMP-0021,2026-06-19,PRJ-001,Approved,54.3,OnPrem-SQLServer
TS-0000161,EMP-0021,2026-06-26,PRJ-001,Approved,57.28,OnPrem-SQLServer
TS-0000162,EMP-0021,2026-07-03,PRJ-001,Approved,58.11,OnPrem-SQLServer
TS-0000163,EMP-0021,2026-07-10,PRJ-001,Approved,51.87,OnPrem-SQLServer
TS-0000164,EMP-0021,2026-07-17,PRJ-001,Approved,53.14,OnPrem-SQLServer
TS-0000165,EMP-0021,2026-07-24,PRJ-001,Approved,51.2,OnPrem-SQLServer
TS-0000166,EMP-0022,2026-06-05,PRJ-010,Submitted,40.61,OnPrem-SQLServer
TS-0000167,EMP-0022,2026-06-12,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000168,EMP-0022,2026-06-19,PRJ-010,Approved,42.04,OnPrem-SQLServer
TS-0000169,EMP-0022,2026-06-26,PRJ-001,Submitted,52.1,OnPrem-SQLServer
TS-0000170,EMP-0022,2026-07-03,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000171,EMP-0022,2026-07-10,PRJ-010,Submitted,40.62,OnPrem-SQLServer
TS-0000172,EMP-0022,2026-07-17,PRJ-010,Approved,43.15,OnPrem-SQLServer
TS-0000173,EMP-0022,2026-07-24,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000174,EMP-0022,2026-07-31,PRJ-010,Approved,40.0,OnPrem-SQLServer
TS-0000175,EMP-0023,2026-05-22,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000176,EMP-0023,2026-05-29,PRJ-009,Approved,40.62,OnPrem-SQLServer
TS-0000177,EMP-0023,2026-06-05,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000178,EMP-0023,2026-06-12,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000179,EMP-0023,2026-06-19,PRJ-009,Approved,41.8,OnPrem-SQLServer
TS-0000180,EMP-0023,2026-06-26,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000181,EMP-0023,2026-07-03,PRJ-009,Approved,41.9,OnPrem-SQLServer
TS-0000182,EMP-0023,2026-07-10,PRJ-009,Approved,41.67,OnPrem-SQLServer
TS-0000183,EMP-0023,2026-07-17,PRJ-009,Approved,42.41,OnPrem-SQLServer
TS-0000184,EMP-0023,2026-07-24,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000185,EMP-0023,2026-07-31,PRJ-009,Approved,41.25,OnPrem-SQLServer
TS-0000186,EMP-0024,2026-06-12,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000187,EMP-0024,2026-06-19,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000188,EMP-0024,2026-06-26,PRJ-012,Approved,40.66,OnPrem-SQLServer
TS-0000189,EMP-0024,2026-07-03,PRJ-009,Submitted,41.49,OnPrem-SQLServer
TS-0000190,EMP-0024,2026-07-10,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000191,EMP-0024,2026-07-24,PRJ-009,Approved,40.0,OnPrem-SQLServer
TS-0000192,EMP-0024,2026-07-31,PRJ-003,Approved,40.0,OnPrem-SQLServer
TS-0000193,EMP-0025,2026-06-19,PRJ-006,Approved,41.67,OnPrem-SQLServer
TS-0000194,EMP-0025,2026-06-26,PRJ-006,Rejected,41.58,OnPrem-SQLServer
TS-0000195,EMP-0025,2026-07-03,PRJ-006,Approved,41.83,OnPrem-SQLServer
TS-0000196,EMP-0025,2026-07-10,PRJ-006,Approved,40.0,OnPrem-SQLServer
TS-0000197,EMP-0025,2026-07-17,PRJ-006,Submitted,40.0,OnPrem-SQLServer
TS-0000198,EMP-0025,2026-07-24,PRJ-006,Approved,40.78,OnPrem-SQLServer
TS-0000199,EMP-0025,2026-07-31,PRJ-006,Submitted,42.7,OnPrem-SQLServer
TS-0000200,EMP-0026,2026-05-01,PRJ-008,Approved,41.33,OnPrem-SQLServer
TS-0000201,EMP-0026,2026-05-08,PRJ-008,Approved,41.32,OnPrem-SQLServer
TS-0000202,EMP-0026,2026-05-15,PRJ-008,Submitted,41.35,OnPrem-SQLServer
TS-0000203,EMP-0026,2026-05-22,PRJ-008,Approved,41.84,OnPrem-SQLServer
TS-0000204,EMP-0026,2026-05-29,PRJ-008,Submitted,41.51,OnPrem-SQLServer
TS-0000205,EMP-0026,2026-06-05,PRJ-008,Approved,40.59,OnPrem-SQLServer
TS-0000206,EMP-0026,2026-06-12,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000207,EMP-0026,2026-06-19,PRJ-008,Submitted,40.0,OnPrem-SQLServer
TS-0000208,EMP-0026,2026-06-26,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000209,EMP-0026,2026-07-03,PRJ-008,Approved,40.0,OnPrem-SQLServer
TS-0000210,EMP-0026,2026-07-10,PRJ-008,Approved,41.89,OnPrem-SQLServer
